variant,query_id,query_type,top_k,rerank,retriever,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk
lexical_k3,q001,fact_lookup,3.0,false,lexical,1.08e-06,0.0,2.064e-05,2.172e-05,2.172e-05,178.1,0.0,180.0,358.1,358.1,0.5,1.0,0.6131471927654584,0.3333333333333333,0.5,0.9743589743589743,0.8,0.08666666666666667
lexical_k3,q002,fact_lookup,3.0,false,lexical,1.08e-06,0.0,1.992e-05,2.1e-05,2.1e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.8333333333333334,0.05833333333333335
lexical_k3,q003,stale_context,3.0,false,lexical,1.08e-06,0.0,1.976e-05,2.084e-05,2.084e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.8,0.07000000000000006
lexical_k3,q004,fact_lookup,3.0,false,lexical,1.08e-06,0.0,2.056e-05,2.164e-05,2.164e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
lexical_k3,q005,fact_lookup,3.0,false,lexical,1.08e-06,0.0,1.944e-05,2.052e-05,2.052e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,1.0,0.3333333333333333,1.0,0.9777777777777777,1.0,0.014444444444444482
lexical_k3,q006,compliance,3.0,false,lexical,1.08e-06,0.0,1.96e-05,2.068e-05,2.068e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
lexical_k3,q007,fact_lookup,3.0,false,lexical,1.08e-06,0.0,1.912e-05,2.02e-05,2.02e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
lexical_k3,q008,policy_reasoning,3.0,false,lexical,1.08e-06,0.0,1.792e-05,1.9e-05,1.9e-05,178.1,0.0,180.0,358.1,358.1,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.29166666666666663
lexical_k3,q009,cost_latency,3.0,false,lexical,1.08e-06,0.0,1.968e-05,2.076e-05,2.076e-05,178.1,0.0,180.0,358.1,358.1,1.0,1.0,0.9197207891481876,0.6666666666666666,1.0,0.9736842105263158,1.0,0.017105263157894735
lexical_k3,q010,compliance,3.0,false,lexical,1.08e-06,0.0,1.968e-05,2.076e-05,2.076e-05,178.1,0.0,180.0,358.1,358.1,1.0,0.5,0.6309297535714575,0.3333333333333333,1.0,0.9782608695652174,1.0,0.01413043478260867
