variant,query_id,query_type,top_k,rerank,retriever,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk
lexical_k5_rerank,q001,fact_lookup,5.0,true,lexical,5.7e-07,2e-05,2.592e-05,4.649e-05,4.649e-05,125.9,90.0,180.0,395.9,395.9,0.5,0.3333333333333333,0.3065735963827292,0.2,0.5,0.9791666666666666,0.2,0.2935416666666667
lexical_k5_rerank,q002,fact_lookup,5.0,true,lexical,5.7e-07,2e-05,2.736e-05,4.793e-05,4.793e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,0.9787234042553191,1.0,0.013829787234042601
lexical_k5_rerank,q003,stale_context,5.0,true,lexical,5.7e-07,2e-05,2.64e-05,4.697e-05,4.697e-05,125.9,90.0,180.0,395.9,395.9,0.5,0.5,0.38685280723454163,0.2,0.5,0.9787234042553191,0.8,0.08382978723404255
lexical_k5_rerank,q004,fact_lookup,5.0,true,lexical,5.7e-07,2e-05,2.664e-05,4.721e-05,4.721e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q005,fact_lookup,5.0,true,lexical,5.7e-07,2e-05,2.64e-05,4.697e-05,4.697e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q006,compliance,5.0,true,lexical,5.7e-07,2e-05,2.72e-05,4.777e-05,4.777e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,0.9772727272727273,1.0,0.01477272727272727
lexical_k5_rerank,q007,fact_lookup,5.0,true,lexical,5.7e-07,2e-05,2.688e-05,4.745e-05,4.745e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q008,policy_reasoning,5.0,true,lexical,5.7e-07,2e-05,2.584e-05,4.641e-05,4.641e-05,125.9,90.0,180.0,395.9,395.9,1.0,0.5,0.6309297535714575,0.2,1.0,0.9782608695652174,0.6666666666666666,0.13079710144927537
lexical_k5_rerank,q009,cost_latency,5.0,true,lexical,5.7e-07,2e-05,2.696e-05,4.753e-05,4.753e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.0
lexical_k5_rerank,q010,compliance,5.0,true,lexical,5.7e-07,2e-05,2.6e-05,4.657e-05,4.657e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q011,fact_lookup,5.0,true,lexical,5.7e-07,2e-05,2.664e-05,4.721e-05,4.721e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,0.9782608695652174,1.0,0.01413043478260867
lexical_k5_rerank,q012,policy_reasoning,5.0,true,lexical,5.7e-07,2e-05,2.704e-05,4.761e-05,4.761e-05,125.9,90.0,180.0,395.9,395.9,1.0,1.0,1.0,0.2,1.0,0.972972972972973,1.0,0.0175675675675675
